epoch 500/100000, loss 0.2840461895763876
epoch 1000/100000, loss 0.20396090996265412
epoch 1500/100000, loss 0.17401023875176924
epoch 2000/100000, loss 0.16396373362839226
epoch 2500/100000, loss 0.15309649246931079
epoch 3000/100000, loss 0.1479716213792563
epoch 3500/100000, loss 0.14311777337640505
epoch 4000/100000, loss 0.1364308444410563
epoch 4500/100000, loss 0.1367377554625272
epoch 5000/100000, loss 0.13174660071730626
epoch 5500/100000, loss 0.12626269030570997
epoch 6000/100000, loss 0.12621148307621485
epoch 6500/100000, loss 0.12317742075771089
epoch 7000/100000, loss 0.12050327730178846
epoch 7500/100000, loss 0.11891946981102232
epoch 8000/100000, loss 0.11724809312075388
epoch 8500/100000, loss 0.11515697762370102
epoch 9000/100000, loss 0.11518076603859659
epoch 9500/100000, loss 0.1108546457588673
epoch 10000/100000, loss 0.10904624079912903
epoch 10500/100000, loss 0.11037159892171612
epoch 11000/100000, loss 0.10827669198065999
epoch 11500/100000, loss 0.10904513285309088
epoch 12000/100000, loss 0.10622753363847741
epoch 12500/100000, loss 0.10580627670139071
epoch 13000/100000, loss 0.10488602343946689
epoch 13500/100000, loss 0.1012521417737008
epoch 14000/100000, loss 0.1028993427231908
epoch 14500/100000, loss 0.1012475102692842
epoch 15000/100000, loss 0.09942832373082636
epoch 15500/100000, loss 0.099805051267147
epoch 16000/100000, loss 0.10078889384120703
epoch 16500/100000, loss 0.09850705266371361
epoch 17000/100000, loss 0.10016909465193742
epoch 17500/100000, loss 0.09613508380204447
epoch 18000/100000, loss 0.09678760167211282
epoch 18500/100000, loss 0.09695215956866744
epoch 19000/100000, loss 0.09816986959427595
epoch 19500/100000, loss 0.09737243846058843
epoch 20000/100000, loss 0.09415629594027988
epoch 20500/100000, loss 0.09694630243629207
epoch 21000/100000, loss 0.09604756827652453
epoch 21500/100000, loss 0.09287241868674756
epoch 22000/100000, loss 0.09356261497363441
epoch 22500/100000, loss 0.09161562641710051
epoch 23000/100000, loss 0.09304621646553286
epoch 23500/100000, loss 0.09058365423977385
epoch 24000/100000, loss 0.09183135956525806
epoch 24500/100000, loss 0.09213532221317287
epoch 25000/100000, loss 0.09250548841804264
epoch 25500/100000, loss 0.09218490751087675
epoch 26000/100000, loss 0.09068024305254226
epoch 26500/100000, loss 0.09053049390763045
epoch 27000/100000, loss 0.08942921753227707
epoch 27500/100000, loss 0.08923558696918178
epoch 28000/100000, loss 0.08760354739427577
epoch 28500/100000, loss 0.08847237461060282
epoch 29000/100000, loss 0.09085299012437459
epoch 29500/100000, loss 0.08747359749674792
epoch 30000/100000, loss 0.08794287474453442
epoch 30500/100000, loss 0.08737332637608054
epoch 31000/100000, loss 0.0897433241531252
epoch 31500/100000, loss 0.08618645762652159
epoch 32000/100000, loss 0.08625955128669742
epoch 32500/100000, loss 0.0878422524780036
epoch 33000/100000, loss 0.08732589161023499
epoch 33500/100000, loss 0.08765505298599612
epoch 34000/100000, loss 0.08471643450856206
epoch 34500/100000, loss 0.08779355674237008
epoch 35000/100000, loss 0.08747296645492314
epoch 35500/100000, loss 0.08414792088419205
epoch 36000/100000, loss 0.08598304260522135
epoch 36500/100000, loss 0.08516919535398478
epoch 37000/100000, loss 0.08552447140961882
epoch 37500/100000, loss 0.08440528390184043
epoch 38000/100000, loss 0.08306429008021961
epoch 38500/100000, loss 0.08373756191879514
epoch 39000/100000, loss 0.08379980490356678
epoch 39500/100000, loss 0.08521071546524757
epoch 40000/100000, loss 0.08407683056965468
epoch 40500/100000, loss 0.08345944582670935
epoch 41000/100000, loss 0.08438333539664754
epoch 41500/100000, loss 0.08398333737254142
epoch 42000/100000, loss 0.08384154833853243
epoch 42500/100000, loss 0.08342350304126739
epoch 43000/100000, loss 0.08450657853856679
epoch 43500/100000, loss 0.08469217056781055
epoch 44000/100000, loss 0.08441024063155063
epoch 44500/100000, loss 0.0855097500532866
epoch 45000/100000, loss 0.08109666322544216
epoch 45500/100000, loss 0.08420132520794871
epoch 46000/100000, loss 0.08238787471503022
epoch 46500/100000, loss 0.08210800630226725
epoch 47000/100000, loss 0.08357914478704341
epoch 47500/100000, loss 0.0836724101379514
epoch 48000/100000, loss 0.08270663887262353
epoch 48500/100000, loss 0.08312466242909429
