epoch 500/50000, loss 285.56156243896464
epoch 1000/50000, loss 136.78484706878663
epoch 1500/50000, loss 107.97873649215697
epoch 2000/50000, loss 86.59718775176992
epoch 2500/50000, loss 73.36763815307616
epoch 3000/50000, loss 68.13898821449283
epoch 3500/50000, loss 60.77611450004582
epoch 4000/50000, loss 53.60916602420803
epoch 4500/50000, loss 52.76044351053236
epoch 5000/50000, loss 44.49953222274776
epoch 5500/50000, loss 39.734220634460506
epoch 6000/50000, loss 40.496155534267416
epoch 6500/50000, loss 31.877383959293365
epoch 7000/50000, loss 33.44870154380795
epoch 7500/50000, loss 31.5473953251839
epoch 8000/50000, loss 29.79711254429814
epoch 8500/50000, loss 25.833615165233613
epoch 9000/50000, loss 26.01786935424804
epoch 9500/50000, loss 22.66738372516633
epoch 10000/50000, loss 18.727265516519548
epoch 10500/50000, loss 23.58745311284066
epoch 11000/50000, loss 22.843635061979263
epoch 11500/50000, loss 20.458245493650438
epoch 12000/50000, loss 17.95322422647476
epoch 12500/50000, loss 17.53845106601714
epoch 13000/50000, loss 14.368345979452139
epoch 13500/50000, loss 13.151618581056592
epoch 14000/50000, loss 14.66845169937611
epoch 14500/50000, loss 15.201878666639336
epoch 15000/50000, loss 13.207170003652571
epoch 15500/50000, loss 12.280998059391969
epoch 16000/50000, loss 10.294415342509758
epoch 16500/50000, loss 14.445942393541355
epoch 17000/50000, loss 8.96847739219665
epoch 17500/50000, loss 10.160227778375154
epoch 18000/50000, loss 9.024270957469943
epoch 18500/50000, loss 8.46191086578369
epoch 19000/50000, loss 9.121178204655644
epoch 19500/50000, loss 10.028281495213504
epoch 20000/50000, loss 10.337196001172066
epoch 20500/50000, loss 7.464666181027889
epoch 21000/50000, loss 7.318109128296366
epoch 21500/50000, loss 7.886316440105433
epoch 22000/50000, loss 6.288406534671783
epoch 22500/50000, loss 7.686990970492364
epoch 23000/50000, loss 7.621807047367089
epoch 23500/50000, loss 7.94204957449436
epoch 24000/50000, loss 7.59335733038187
epoch 24500/50000, loss 6.963457201898098
epoch 25000/50000, loss 5.3319099008739
epoch 25500/50000, loss 5.190070497155189
epoch 26000/50000, loss 4.632763720631599
epoch 26500/50000, loss 6.001592955231664
epoch 27000/50000, loss 4.3110643947273495
epoch 27500/50000, loss 4.968140566885476
epoch 28000/50000, loss 4.830122089266777
epoch 28500/50000, loss 5.126011017203333
epoch 29000/50000, loss 4.660039668142796
epoch 29500/50000, loss 3.9282883183360107
epoch 30000/50000, loss 4.697882342159746
epoch 30500/50000, loss 3.971623037755488
epoch 31000/50000, loss 3.7101899739801856
epoch 31500/50000, loss 4.15463028326631
epoch 32000/50000, loss 5.747226215586066
epoch 32500/50000, loss 4.359950846463443
epoch 33000/50000, loss 3.854833307445049
epoch 33500/50000, loss 3.638704905003309
epoch 34000/50000, loss 3.6380155351161925
epoch 34500/50000, loss 2.972376596391202
epoch 35000/50000, loss 3.1052574712634056
epoch 35500/50000, loss 3.351196635365487
epoch 36000/50000, loss 2.3368004579246064
epoch 36500/50000, loss 3.6739338446855525
epoch 37000/50000, loss 4.147916872888802
epoch 37500/50000, loss 4.236459642916923
epoch 38000/50000, loss 3.1236318939626218
epoch 38500/50000, loss 3.1917423844039425
epoch 39000/50000, loss 2.7198920043855908
epoch 39500/50000, loss 3.1149116692394037
epoch 40000/50000, loss 3.0749513183981185
epoch 40500/50000, loss 2.8674523097574713
epoch 41000/50000, loss 2.5091489810645604
epoch 41500/50000, loss 2.556105453670024
epoch 42000/50000, loss 3.269367326080796
epoch 42500/50000, loss 2.3974019611924877
epoch 43000/50000, loss 3.1644290109276794
epoch 43500/50000, loss 3.305310422211889
epoch 44000/50000, loss 2.2268344357088203
epoch 44500/50000, loss 3.4055425163507516
epoch 45000/50000, loss 2.7202530451267974
epoch 45500/50000, loss 1.5850783667266377
epoch 46000/50000, loss 2.4522116813957693
epoch 46500/50000, loss 2.6469609744548785
epoch 47000/50000, loss 2.7431370525360097
epoch 47500/50000, loss 2.058098864883185
epoch 48000/50000, loss 2.4261301151812074
epoch 48500/50000, loss 1.9359798188880102
epoch 49000/50000, loss 1.8940988990813497
epoch 49500/50000, loss 2.261545499473811
epoch 50000/50000, loss 1.9803310198187851
